alpha,gamma,epsilon,epochs,final_distance,mean_distance,final_probability_train1_loop,mean_probability_train1_loop,final_probability_train2_loop,mean_probability_train2_loop
0.01,0.99,0.1,500,5.0,3.012,0.754,0.62413,0.0,0.0
0.01,0.95,0.1,500,1.0,3.044,0.629,0.462614,0.0,0.0
0.01,0.9,0.1,500,5.0,2.932,0.632,0.56163,0.0,0.0
0.1,0.99,0.1,500,5.0,2.98,0.277,0.280462,0.0,0.0
0.1,0.95,0.1,500,1.0,3.052,0.407,0.38556799999999997,0.0,0.0
0.1,0.9,0.1,500,5.0,3.0,0.362,0.367498,0.0,0.0
